Date,Price,Open,High,Low,Vol.,Change %
1/4/1996,5569.08,5588.60,5697.69,5415.53,37.38M,-0.32%
1/5/1996,5643.18,5567.60,5796.10,5342.20,37.68M,1.33%
1/6/1996,5654.63,5643.90,5742.54,5580.38,33.98M,0.20%
1/7/1996,5528.91,5654.60,5733.31,5182.32,37.10M,-2.22%
1/8/1996,5616.21,5528.90,5739.02,5524.10,29.00M,1.58%
1/9/1996,5882.17,5611.80,5929.89,5561.46,33.86M,4.74%
1/10/1996,6029.38,5878.40,6133.73,5861.67,34.93M,2.50%
1/11/1996,6521.70,6027.10,6589.53,5998.82,37.69M,8.17%
1/12/1996,6448.27,6520.60,6587.05,6236.05,38.72M,-1.13%
1/1/1997,6813.09,6447.50,6906.60,6352.83,47.52M,5.66%
1/2/1997,6877.74,6810.80,7073.62,6710.72,42.50M,0.95%
1/3/1997,6583.48,6874.30,7112.10,6561.20,51.28M,-4.28%
1/4/1997,7009.00,6583.50,7057.55,6356.78,52.70M,6.46%
1/5/1997,7331.00,7008.99,7394.95,6913.47,52.27M,4.59%
1/6/1997,7672.80,7331.00,7834.06,7253.78,54.08M,4.66%
1/7/1997,8222.60,7678.00,8282.77,7667.36,59.70M,7.17%
1/8/1997,7622.40,8222.80,8299.49,7606.86,55.48M,-7.30%
1/9/1997,7945.30,7631.70,8035.63,7580.85,60.11M,4.24%
1/10/1997,7442.10,7948.50,8184.70,6971.07,72.84M,-6.33%
1/11/1997,7823.10,7445.80,7881.07,7349.99,57.28M,5.12%
1/12/1997,7908.30,7825.12,8166.29,7576.93,54.22M,1.09%
1/1/1998,7906.50,7910.20,8035.54,7443.41,68.90M,-0.02%
1/2/1998,8545.72,7909.99,8566.89,7909.99,774.50K,8.08%
1/3/1998,8799.81,8544.47,8959.24,8405.72,56.98M,2.97%
1/4/1998,9063.37,8801.56,9213.33,8748.74,68.89M,3.00%
1/5/1998,8899.95,9066.61,9261.91,8788.10,56.23M,-1.80%
1/6/1998,8952.02,8900.95,9104.72,8569.88,61.32M,0.59%
1/7/1998,8883.29,8958.99,9367.84,8816.09,67.69M,-0.77%
1/8/1998,7539.07,8883.29,8886.12,7539.07,83.79M,-15.13%
1/9/1998,7842.62,7545.76,8182.47,7400.30,94.51M,4.03%
1/10/1998,8592.10,7841.33,8659.81,7467.49,90.33M,9.56%
1/11/1998,9116.55,8595.70,9380.20,8595.70,73.06M,6.10%
1/12/1998,9181.43,9116.55,9334.88,8676.03,70.95M,0.71%
1/1/1999,9358.83,9184.01,9647.96,9063.26,96.45M,1.93%
1/2/1999,9306.58,9359.60,9611.33,9099.04,85.61M,-0.56%
1/3/1999,9786.16,9307.39,10085.31,9211.23,91.51M,5.15%
1/4/1999,10789.04,9786.44,10961.71,9765.63,105.64M,10.25%
1/5/1999,10559.74,10789.04,11130.67,10434.26,95.77M,-2.13%
1/6/1999,10970.80,10561.01,11003.41,10409.14,86.02M,3.89%
1/7/1999,10655.15,10966.05,11252.27,10647.86,83.56M,-2.88%
1/8/1999,10829.28,10654.83,11365.93,10549.08,89.01M,1.63%
1/9/1999,10336.95,10828.44,11142.41,10081.13,88.58M,-4.55%
1/10/1999,10729.86,10335.69,10790.02,9976.02,111.41M,3.80%
1/11/1999,10877.81,10730.78,11112.77,10536.27,162.30M,1.38%
1/12/1999,11497.12,10876.47,11568.77,10859.65,145.90M,5.69%
1/1/2000,10940.53,11501.85,11750.28,10701.64,202.32M,-4.84%
1/2/2000,10128.31,10937.74,11118.93,9836.06,192.62M,-7.42%
1/3/2000,10921.92,10128.11,11234.65,9731.81,214.53M,7.84%
1/4/2000,10733.91,10863.28,11425.45,10201.53,222.28M,-1.72%
1/5/2000,10522.33,10749.42,10971.24,10258.81,180.90M,-1.97%
1/6/2000,10447.89,10532.27,10863.00,10335.46,183.98M,-0.71%
1/7/2000,10521.98,10450.36,10874.63,10393.09,171.24M,0.71%
1/8/2000,11215.10,10523.81,11319.06,10516.76,165.39M,6.59%
1/9/2000,10650.92,11219.54,11401.19,10567.32,243.81M,-5.03%
1/10/2000,10971.14,10659.06,10995.41,9654.64,297.12M,3.01%
1/11/2000,10414.49,10966.21,11006.50,10292.39,240.12M,-5.07%
1/12/2000,10787.99,10416.76,10917.68,10299.21,270.67M,3.59%
1/1/2001,10887.36,10790.92,11028.00,10468.04,290.79M,0.92%
1/2/2001,10495.28,10884.82,11035.14,10294.01,232.54M,-3.60%
1/3/2001,9878.78,10493.25,10859.50,9106.54,287.98M,-5.87%
1/4/2001,10734.97,9877.16,10906.41,9375.72,272.38M,8.67%
1/5/2001,10911.94,10734.05,11350.05,10673.22,214.03M,1.65%
1/6/2001,10502.40,10913.57,11196.53,10394.72,249.67M,-3.75%
1/7/2001,10522.81,10504.95,10679.12,10120.89,230.02M,0.19%
1/8/2001,9949.75,10527.38,10609.65,9869.14,185.20M,-5.45%
1/9/2001,8847.56,9946.98,10182.38,8062.34,393.05M,-11.08%
1/10/2001,9075.14,8845.97,9598.17,8732.14,259.44M,2.57%
1/11/2001,9851.56,9087.45,9992.79,9014.46,235.38M,8.56%
1/12/2001,10021.57,9848.93,10184.45,9703.90,222.48M,1.73%
1/1/2002,9920.00,10021.71,10300.15,9529.46,248.94M,-1.01%
1/2/2002,10106.13,9923.04,10255.24,9580.32,259.03M,1.88%
1/3/2002,10403.94,10111.04,10673.10,10111.04,238.46M,2.95%
1/4/2002,9946.22,10402.07,10402.07,9811.57,244.69M,-4.40%
1/5/2002,9925.25,9944.90,10353.43,9802.23,228.30M,-0.21%
1/6/2002,9243.26,9923.94,9986.49,8926.57,305.77M,-6.87%
1/7/2002,8736.59,9239.25,9410.38,7532.66,365.58M,-5.48%
1/8/2002,8663.50,8732.58,9077.01,8030.82,262.20M,-0.84%
1/9/2002,7591.93,8659.27,8726.90,7460.78,298.76M,-12.37%
1/10/2002,8397.03,7593.04,8558.63,7197.49,338.71M,10.60%
1/11/2002,8896.09,8395.64,8950.33,8298.68,276.00M,5.94%
1/12/2002,8341.63,8902.95,9043.37,8242.91,228.46M,-6.23%
1/1/2003,8053.81,8342.38,8869.29,7917.16,273.05M,-3.45%
1/2/2003,7891.08,8053.74,8152.53,7628.99,245.44M,-2.02%
1/3/2003,7992.13,7890.24,8522.18,7416.64,281.79M,1.28%
1/4/2003,8480.09,7992.83,8559.77,7979.69,256.26M,6.11%
1/5/2003,8850.26,8478.48,8868.33,8340.23,234.92M,4.37%
1/6/2003,8985.44,8851.45,9352.77,8851.45,248.18M,1.53%
1/7/2003,9233.80,8983.66,9361.40,8871.20,234.33M,2.76%
1/8/2003,9415.82,9232.68,9499.97,8997.11,3.81B,1.97%
1/9/2003,9275.06,9416.67,9686.08,9230.47,4.39B,-1.49%
1/10/2003,9801.12,9276.80,9850.01,9276.80,4.79B,5.67%
1/11/2003,9782.46,9802.46,9903.57,9585.50,3.55B,-0.19%
1/12/2003,10453.92,9785.35,10462.44,9785.35,4.17B,6.86%
1/1/2004,10488.07,10452.74,10705.18,10367.41,4.38B,0.33%
1/2/2004,10583.92,10487.78,10753.63,10434.67,3.82B,0.91%
1/3/2004,10357.70,10582.25,10695.55,10007.49,4.97B,-2.14%
1/4/2004,10225.57,10357.52,10570.81,10219.18,4.53B,-1.28%
1/5/2004,10188.45,10227.27,10386.32,9852.19,4.02B,-0.36%
1/6/2004,10435.48,10187.18,10487.54,10134.86,4.11B,2.42%
1/7/2004,10139.71,10434.00,10448.09,9913.92,4.45B,-2.83%
1/8/2004,10173.92,10138.45,10211.25,9783.91,3.72B,0.34%
1/9/2004,10080.27,10170.12,10363.36,9977.92,4.63B,-0.92%
1/10/2004,10027.47,10082.04,10270.37,9708.40,5.29B,-0.52%
1/11/2004,10428.02,10028.73,10602.85,10010.15,5.61B,3.99%
1/12/2004,10783.01,10425.80,10868.07,10418.63,5.74B,3.40%
1/1/2005,10489.94,10783.75,10867.39,10368.61,5.30B,-2.72%
1/2/2005,10766.23,10489.72,10853.43,10489.64,5.04B,2.63%
1/3/2005,10503.76,10769.04,10984.46,10396.24,5.82B,-2.44%
1/4/2005,10192.51,10504.57,10568.93,10000.46,5.85B,-2.96%
1/5/2005,10467.48,10192.00,10560.81,10075.55,4.84B,2.70%
1/6/2005,10274.97,10462.86,10656.29,10253.49,5.03B,-1.84%
1/7/2005,10640.91,10273.59,10717.73,10175.40,4.82B,3.56%
1/8/2005,10481.60,10641.78,10719.41,10349.37,5.08B,-1.50%
1/9/2005,10568.70,10481.44,10701.81,10350.96,5.22B,0.83%
1/10/2005,10440.07,10569.50,10608.56,10156.46,5.83B,-1.22%
1/11/2005,10805.87,10437.51,10959.79,10388.76,5.39B,3.50%
1/12/2005,10717.50,10806.03,10940.34,10709.42,5.22B,-0.82%
1/1/2006,10864.86,10718.30,11047.76,10661.15,6.43B,1.37%
1/2/2006,10993.41,10862.14,11159.18,10737.67,5.76B,1.18%
1/3/2006,11109.32,10993.25,11334.96,10922.73,6.68B,1.05%
1/4/2006,11367.14,11113.00,11417.66,11039.12,5.58B,2.32%
1/5/2006,11168.31,11367.78,11670.19,11030.47,7.30B,-1.75%
1/6/2006,11150.22,11169.03,11285.82,10698.85,6.92B,-0.16%
1/7/2006,11185.68,11149.34,11257.08,10683.32,5.55B,0.32%
1/8/2006,11381.15,11184.80,11407.08,11042.64,4.62B,1.75%
1/9/2006,11679.07,11382.75,11741.99,11323.84,4.49B,2.62%
1/10/2006,12080.73,11678.99,12167.02,11653.06,5.54B,3.44%
1/11/2006,12221.93,12080.25,12361.00,11965.31,4.72B,1.17%
1/12/2006,12463.15,12220.97,12529.88,12089.98,4.34B,1.97%
1/1/2007,12621.69,12459.54,12657.02,12337.37,4.99B,1.27%
1/2/2007,12268.63,12617.20,12795.93,12086.06,4.35B,-2.80%
1/3/2007,12354.35,12265.59,12511.05,11939.61,5.63B,0.70%
1/4/2007,13062.91,12354.52,13162.06,12324.28,4.82B,5.74%
1/5/2007,13627.64,13062.75,13673.07,13041.30,4.99B,4.32%
1/6/2007,13408.62,13628.69,13692.00,13251.53,5.22B,-1.61%
1/7/2007,13211.99,13409.60,14021.95,13199.79,5.51B,-1.47%
1/8/2007,13357.74,13211.09,13695.82,12517.94,6.20B,1.10%
1/9/2007,13895.63,13358.39,13924.81,13021.93,4.33B,4.03%
1/10/2007,13930.01,13895.71,14198.10,13407.49,5.01B,0.25%
1/11/2007,13371.72,13924.16,13924.16,12724.09,5.98B,-4.01%
1/12/2007,13264.82,13368.22,13780.11,13092.00,4.31B,-0.80%
1/1/2008,12650.36,13261.82,13279.54,11634.82,7.46B,-4.63%
1/2/2008,12266.39,12638.17,12767.74,12069.47,5.72B,-3.04%
1/3/2008,12262.89,12264.36,12622.07,11731.60,6.23B,-0.03%
1/4/2008,12820.13,12266.64,13010.00,12266.47,5.05B,4.54%
1/5/2008,12638.32,12818.34,13136.69,12442.59,4.53B,-1.42%
1/6/2008,11350.01,12637.67,12638.08,11287.56,5.31B,-10.19%
1/7/2008,11378.02,11344.64,11698.17,10827.71,5.52B,0.25%
1/8/2008,11543.55,11379.89,11867.11,11221.53,3.58B,1.45%
1/9/2008,10850.66,11545.63,11790.17,10365.45,6.30B,-6.00%
1/10/2008,9325.01,10847.40,10882.52,7882.51,8.31B,-14.06%
1/11/2008,8829.04,9326.04,9653.95,7449.38,6.26B,-5.32%
1/12/2008,8776.39,8826.89,9026.41,8118.50,5.70B,-0.60%
1/1/2009,8000.86,8772.25,9088.06,7909.03,6.26B,-8.84%
1/2/2009,7062.93,8000.62,8315.07,7033.62,7.13B,-11.72%
